node_id,node_type,shape,instrument_tag,instrument_type,loop_number,family,block_role,connection_type,connected_to,source,confidence
CIRCLE_0,CIRCLE,CIRCLE,PIT 3611,PIT,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,,circle_detection,1.0
CIRCLE_1,CIRCLE,CIRCLE,PIT 3611,PIT,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,,circle_detection,1.0
CIRCLE_2,CIRCLE,CIRCLE,PIT 3611,PIT,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,,circle_detection,1.0
CIRCLE_4,CIRCLE,CIRCLE,PIT 3611,PIT,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,,circle_detection,1.0
CIRCLE_5,CIRCLE,CIRCLE,FI 3611,FI,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,SQUARE_8;SQUARE_9;SQUARE_45,circle_detection,1.0
CIRCLE_6,CIRCLE,CIRCLE,FIT 3611,FIT,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,,circle_detection,1.0
CIRCLE_7,CIRCLE,CIRCLE,FIC 3611,FIC,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,,circle_detection,1.0
CIRCLE_10,CIRCLE,CIRCLE,PIT 3611,PIT,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,,circle_detection,1.0
CIRCLE_12,CIRCLE,CIRCLE,FIT 3611,FIT,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,,circle_detection,1.0
CIRCLE_16,CIRCLE,CIRCLE,DPIT 3611,DPIT,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,SQUARE_10;SQUARE_37,circle_detection,1.0
CIRCLE_18,CIRCLE,CIRCLE,PIT 3611,PIT,3611.0,,INSTRUMENT,FIELD_MEASUREMENT,SQUARE_7;SQUARE_11;SQUARE_14;SQUARE_24;SQUARE_36;SQUARE_38;SQUARE_42,circle_detection,1.0
SQUARE_6,SQUARE,SQUARE,PI 3611 08,,,,LOGIC,,,square_ocr,0.85
SQUARE_7,SQUARE,SQUARE,PSDH 3611 09,,,,ALARM_OR_LOGIC,LOGIC_DERIVED,CIRCLE_18,square_ocr,0.85
SQUARE_8,SQUARE,SQUARE,FI 3611 08,,,,LOGIC,BASE_MEASUREMENT,CIRCLE_5,square_ocr,0.85
SQUARE_9,SQUARE,SQUARE,FI 3611 07,,,,LOGIC,BASE_MEASUREMENT,CIRCLE_5,square_ocr,0.85
SQUARE_10,SQUARE,SQUARE,DPI 3611 15,,,,INSTRUMENT,DIRECT_CONNECTION,CIRCLE_16,square_ocr,0.85
SQUARE_11,SQUARE,SQUARE,PSAL 3611 07,,,,ALARM_OR_LOGIC,LOGIC_DERIVED,CIRCLE_18,square_ocr,0.85
SQUARE_14,SQUARE,SQUARE,PSAH 3611 09,,,,ALARM_OR_LOGIC,LOGIC_DERIVED,CIRCLE_18,square_ocr,0.85
SQUARE_24,SQUARE,SQUARE,PSAL 3611 07,,,,ALARM_OR_LOGIC,LOGIC_DERIVED,CIRCLE_18,square_ocr,0.85
SQUARE_33,SQUARE,SQUARE,PI 3611 10,,,,LOGIC,,,square_ocr,0.85
SQUARE_35,SQUARE,SQUARE,PI 3611 11,,,,LOGIC,,,square_ocr,0.85
SQUARE_36,SQUARE,SQUARE,PSAH 3611 12,,,,ALARM_OR_LOGIC,LOGIC_DERIVED,CIRCLE_18,square_ocr,0.85
SQUARE_37,SQUARE,SQUARE,DPI 3611 16,,,,INSTRUMENT,DIRECT_CONNECTION,CIRCLE_16,square_ocr,0.85
SQUARE_38,SQUARE,SQUARE,PSDH 3611 12,,,,ALARM_OR_LOGIC,LOGIC_DERIVED,CIRCLE_18,square_ocr,0.85
SQUARE_42,SQUARE,SQUARE,PSDL 3611 10,,,,ALARM_OR_LOGIC,LOGIC_DERIVED,CIRCLE_18,square_ocr,0.85
SQUARE_45,SQUARE,SQUARE,FI 3611 02,,,,LOGIC,BASE_MEASUREMENT,CIRCLE_5,square_ocr,0.85
